t1_ph,t2_ph,phone,fname,dur_ph,Participant,t1_wd,t2_wd,word,is_wdinit_ph,is_wdfin_ph,prev_ph,next_ph
10.036,10.246,s,textgrids/cbas/p112.TextGrid,0.21000000000000085,p112,9.436,10.246,bacterias,False,True,a,sp
10.246,11.604,sp,textgrids/cbas/p112.TextGrid,1.3579999999999988,p112,10.246,11.604,,True,True,s,a+
11.604,11.744,a+,textgrids/cbas/p112.TextGrid,0.14000000000000057,p112,11.604,12.104,árbol,True,False,sp,rf
11.744,11.804,rf,textgrids/cbas/p112.TextGrid,0.0600000000000005,p112,11.604,12.104,árbol,False,False,a+,b
11.804,11.884,b,textgrids/cbas/p112.TextGrid,0.08000000000000007,p112,11.604,12.104,árbol,False,False,rf,o
11.884,11.984,o,textgrids/cbas/p112.TextGrid,0.09999999999999964,p112,11.604,12.104,árbol,False,False,b,l
11.984,12.104,l,textgrids/cbas/p112.TextGrid,0.11999999999999922,p112,11.604,12.104,árbol,False,True,o,sp
12.104,13.621,sp,textgrids/cbas/p112.TextGrid,1.5170000000000012,p112,12.104,13.621,,True,True,l,l
13.621,13.701,l,textgrids/cbas/p112.TextGrid,0.08000000000000007,p112,13.621,13.851,las,True,False,sp,a
13.701,13.741,a,textgrids/cbas/p112.TextGrid,0.03999999999999915,p112,13.621,13.851,las,False,False,l,s
13.741,13.851,s,textgrids/cbas/p112.TextGrid,0.11000000000000121,p112,13.621,13.851,las,False,True,a,a
13.851,13.901,a,textgrids/cbas/p112.TextGrid,0.049999999999998934,p112,13.851,14.441,amigas,True,False,s,m
13.901,13.991,m,textgrids/cbas/p112.TextGrid,0.08999999999999986,p112,13.851,14.441,amigas,False,False,a,i
13.991,14.081,i,textgrids/cbas/p112.TextGrid,0.08999999999999986,p112,13.851,14.441,amigas,False,False,m,G
14.081,14.171,G,textgrids/cbas/p112.TextGrid,0.08999999999999986,p112,13.851,14.441,amigas,False,False,i,a
14.171,14.221,a,textgrids/cbas/p112.TextGrid,0.05000000000000071,p112,13.851,14.441,amigas,False,False,G,s
14.221,14.441,s,textgrids/cbas/p112.TextGrid,0.22000000000000064,p112,13.851,14.441,amigas,False,True,a,sp
14.441,15.99,sp,textgrids/cbas/p112.TextGrid,1.5489999999999995,p112,14.441,15.99,,True,True,s,b
15.99,16.12,b,textgrids/cbas/p112.TextGrid,0.13000000000000078,p112,15.99,16.51,vez,True,False,sp,e
16.12,16.27,e,textgrids/cbas/p112.TextGrid,0.14999999999999858,p112,15.99,16.51,vez,False,False,b,s
16.27,16.51,s,textgrids/cbas/p112.TextGrid,0.240000000000002,p112,15.99,16.51,vez,False,True,e,sp
16.51,18.055,sp,textgrids/cbas/p112.TextGrid,1.5449999999999982,p112,16.51,18.055,,True,True,s,b
18.055,18.165,b,textgrids/cbas/p112.TextGrid,0.10999999999999943,p112,18.055,18.545,valor,True,False,sp,a
18.165,18.235,a,textgrids/cbas/p112.TextGrid,0.07000000000000028,p112,18.055,18.545,valor,False,False,b,l
18.235,18.345,l,textgrids/cbas/p112.TextGrid,0.10999999999999943,p112,18.055,18.545,valor,False,False,a,o
18.345,18.475,o,textgrids/cbas/p112.TextGrid,0.13000000000000256,p112,18.055,18.545,valor,False,False,l,rf
18.475,18.545,rf,textgrids/cbas/p112.TextGrid,0.07000000000000028,p112,18.055,18.545,valor,False,True,o,sp
18.545,19.897,sp,textgrids/cbas/p112.TextGrid,1.3519999999999968,p112,18.545,19.897,,True,True,rf,a
19.897,19.997,a,textgrids/cbas/p112.TextGrid,0.10000000000000142,p112,19.897,20.507,arbusto,True,False,sp,rf
19.997,20.057,rf,textgrids/cbas/p112.TextGrid,0.05999999999999872,p112,19.897,20.507,arbusto,False,False,a,b
20.057,20.147,b,textgrids/cbas/p112.TextGrid,0.08999999999999986,p112,19.897,20.507,arbusto,False,False,rf,u
20.147,20.267,u,textgrids/cbas/p112.TextGrid,0.120000000000001,p112,19.897,20.507,arbusto,False,False,b,s
20.267,20.357,s,textgrids/cbas/p112.TextGrid,0.08999999999999986,p112,19.897,20.507,arbusto,False,False,u,t
20.357,20.397,t,textgrids/cbas/p112.TextGrid,0.03999999999999915,p112,19.897,20.507,arbusto,False,False,s,o
20.397,20.507,o,textgrids/cbas/p112.TextGrid,0.11000000000000298,p112,19.897,20.507,arbusto,False,True,t,sp
20.507,21.643,sp,textgrids/cbas/p112.TextGrid,1.1359999999999992,p112,20.507,21.643,,True,True,o,s
21.643,21.773,s,textgrids/cbas/p112.TextGrid,0.129999999999999,p112,21.643,22.373,zanahoria,True,False,sp,a
21.773,21.843,a,textgrids/cbas/p112.TextGrid,0.07000000000000028,p112,21.643,22.373,zanahoria,False,False,s,n
21.843,21.923,n,textgrids/cbas/p112.TextGrid,0.0799999999999983,p112,21.643,22.373,zanahoria,False,False,a,a
21.923,22.023,a,textgrids/cbas/p112.TextGrid,0.10000000000000142,p112,21.643,22.373,zanahoria,False,False,n,o
22.023,22.143,o,textgrids/cbas/p112.TextGrid,0.120000000000001,p112,21.643,22.373,zanahoria,False,False,a,rf
22.143,22.193,rf,textgrids/cbas/p112.TextGrid,0.05000000000000071,p112,21.643,22.373,zanahoria,False,False,o,j
22.193,22.273,j,textgrids/cbas/p112.TextGrid,0.0799999999999983,p112,21.643,22.373,zanahoria,False,False,rf,a
22.273,22.373,a,textgrids/cbas/p112.TextGrid,0.10000000000000142,p112,21.643,22.373,zanahoria,False,True,j,sp
22.373,24.053,sp,textgrids/cbas/p112.TextGrid,1.6799999999999997,p112,22.373,24.053,,True,True,a,l
24.053,24.133,l,textgrids/cbas/p112.TextGrid,0.0799999999999983,p112,24.053,24.433,libro,True,False,sp,i
24.133,24.193,i,textgrids/cbas/p112.TextGrid,0.060000000000002274,p112,24.053,24.433,libro,False,False,l,b
24.193,24.293,b,textgrids/cbas/p112.TextGrid,0.09999999999999787,p112,24.053,24.433,libro,False,False,i,rf
24.293,24.343,rf,textgrids/cbas/p112.TextGrid,0.05000000000000071,p112,24.053,24.433,libro,False,False,b,o
24.343,24.433,o,textgrids/cbas/p112.TextGrid,0.08999999999999986,p112,24.053,24.433,libro,False,True,rf,sp
24.433,25.848,sp,textgrids/cbas/p112.TextGrid,1.4149999999999991,p112,24.433,25.848,,True,True,o,b
25.848,25.948,b,textgrids/cbas/p112.TextGrid,0.10000000000000142,p112,25.848,26.608,valuación,True,False,sp,a
25.948,26.018,a,textgrids/cbas/p112.TextGrid,0.07000000000000028,p112,25.848,26.608,valuación,False,False,b,l
26.018,26.088,l,textgrids/cbas/p112.TextGrid,0.07000000000000028,p112,25.848,26.608,valuación,False,False,a,w
26.088,26.158,w,textgrids/cbas/p112.TextGrid,0.07000000000000028,p112,25.848,26.608,valuación,False,False,l,a
26.158,26.208,a,textgrids/cbas/p112.TextGrid,0.04999999999999716,p112,25.848,26.608,valuación,False,False,w,T
26.208,26.308,T,textgrids/cbas/p112.TextGrid,0.10000000000000142,p112,25.848,26.608,valuación,False,False,a,j
26.308,26.358,j,textgrids/cbas/p112.TextGrid,0.05000000000000071,p112,25.848,26.608,valuación,False,False,T,o+
26.358,26.408,o+,textgrids/cbas/p112.TextGrid,0.05000000000000071,p112,25.848,26.608,valuación,False,False,j,n
26.408,26.608,n,textgrids/cbas/p112.TextGrid,0.1999999999999993,p112,25.848,26.608,valuación,False,True,o+,sp
26.608,28.304,sp,textgrids/cbas/p112.TextGrid,1.695999999999998,p112,26.608,28.304,,True,True,n,k
28.304,28.394,k,textgrids/cbas/p112.TextGrid,0.08999999999999986,p112,28.304,28.674,cajas,True,False,sp,a
28.394,28.474,a,textgrids/cbas/p112.TextGrid,0.08000000000000185,p112,28.304,28.674,cajas,False,False,k,x
28.474,28.514,x,textgrids/cbas/p112.TextGrid,0.03999999999999915,p112,28.304,28.674,cajas,False,False,a,a
28.514,28.574,a,textgrids/cbas/p112.TextGrid,0.060000000000002274,p112,28.304,28.674,cajas,False,False,x,s
28.574,28.674,s,textgrids/cbas/p112.TextGrid,0.09999999999999787,p112,28.304,28.674,cajas,False,True,a,a
28.674,28.714,a,textgrids/cbas/p112.TextGrid,0.03999999999999915,p112,28.674,29.444,amarillas,True,False,s,m
28.714,28.814,m,textgrids/cbas/p112.TextGrid,0.10000000000000142,p112,28.674,29.444,amarillas,False,False,a,a
28.814,28.854,a,textgrids/cbas/p112.TextGrid,0.03999999999999915,p112,28.674,29.444,amarillas,False,False,m,rf
28.854,28.904,rf,textgrids/cbas/p112.TextGrid,0.05000000000000071,p112,28.674,29.444,amarillas,False,False,a,i
28.904,29.024,i,textgrids/cbas/p112.TextGrid,0.120000000000001,p112,28.674,29.444,amarillas,False,False,rf,L
29.024,29.094,L,textgrids/cbas/p112.TextGrid,0.07000000000000028,p112,28.674,29.444,amarillas,False,False,i,a
29.094,29.184,a,textgrids/cbas/p112.TextGrid,0.08999999999999986,p112,28.674,29.444,amarillas,False,False,L,s
29.184,29.444,s,textgrids/cbas/p112.TextGrid,0.259999999999998,p112,28.674,29.444,amarillas,False,True,a,sp
29.444,30.646,sp,textgrids/cbas/p112.TextGrid,1.2020000000000017,p112,29.444,30.646,,True,True,s,b
30.646,30.856,b,textgrids/cbas/p112.TextGrid,0.21000000000000085,p112,30.646,31.466,barómetro,True,False,sp,a
30.856,30.906,a,textgrids/cbas/p112.TextGrid,0.04999999999999716,p112,30.646,31.466,barómetro,False,False,b,rf
30.906,30.946,rf,textgrids/cbas/p112.TextGrid,0.0400000000000027,p112,30.646,31.466,barómetro,False,False,a,o+
30.946,31.056,o+,textgrids/cbas/p112.TextGrid,0.10999999999999943,p112,30.646,31.466,barómetro,False,False,rf,m
31.056,31.146,m,textgrids/cbas/p112.TextGrid,0.08999999999999986,p112,30.646,31.466,barómetro,False,False,o+,e
31.146,31.206,e,textgrids/cbas/p112.TextGrid,0.05999999999999872,p112,30.646,31.466,barómetro,False,False,m,t
31.206,31.266,t,textgrids/cbas/p112.TextGrid,0.05999999999999872,p112,30.646,31.466,barómetro,False,False,e,rf
31.266,31.336,rf,textgrids/cbas/p112.TextGrid,0.07000000000000028,p112,30.646,31.466,barómetro,False,False,t,o
31.336,31.466,o,textgrids/cbas/p112.TextGrid,0.13000000000000256,p112,30.646,31.466,barómetro,False,True,rf,sp
31.466,32.764,sp,textgrids/cbas/p112.TextGrid,1.2980000000000018,p112,31.466,32.764,,True,True,o,k
32.764,32.824,k,textgrids/cbas/p112.TextGrid,0.05999999999999517,p112,32.764,33.364,carbono,True,False,sp,a
32.824,32.894,a,textgrids/cbas/p112.TextGrid,0.07000000000000028,p112,32.764,33.364,carbono,False,False,k,rf
32.894,32.964,rf,textgrids/cbas/p112.TextGrid,0.07000000000000028,p112,32.764,33.364,carbono,False,False,a,b
32.964,33.044,b,textgrids/cbas/p112.TextGrid,0.0799999999999983,p112,32.764,33.364,carbono,False,False,rf,o
33.044,33.154,o,textgrids/cbas/p112.TextGrid,0.11000000000000654,p112,32.764,33.364,carbono,False,False,b,n
33.154,33.244,n,textgrids/cbas/p112.TextGrid,0.0899999999999963,p112,32.764,33.364,carbono,False,False,o,o
33.244,33.364,o,textgrids/cbas/p112.TextGrid,0.11999999999999744,p112,32.764,33.364,carbono,False,True,n,sp
33.364,35.442,sp,textgrids/cbas/p112.TextGrid,2.078000000000003,p112,33.364,35.442,,True,True,o,b
35.442,35.562,b,textgrids/cbas/p112.TextGrid,0.11999999999999744,p112,35.442,35.962,bisco,True,False,sp,i
35.562,35.652,i,textgrids/cbas/p112.TextGrid,0.09000000000000341,p112,35.442,35.962,bisco,False,False,b,s
35.652,35.742,s,textgrids/cbas/p112.TextGrid,0.0899999999999963,p112,35.442,35.962,bisco,False,False,i,k
35.742,35.802,k,textgrids/cbas/p112.TextGrid,0.060000000000002274,p112,35.442,35.962,bisco,False,False,s,o
35.802,35.962,o,textgrids/cbas/p112.TextGrid,0.1600000000000037,p112,35.442,35.962,bisco,False,True,k,sp
35.962,37.275,sp,textgrids/cbas/p112.TextGrid,1.3129999999999953,p112,35.962,37.275,,True,True,o,s
37.275,37.415,s,textgrids/cbas/p112.TextGrid,0.14000000000000057,p112,37.275,37.745,cero,True,False,sp,e
37.415,37.545,e,textgrids/cbas/p112.TextGrid,0.13000000000000256,p112,37.275,37.745,cero,False,False,s,rf
37.545,37.605,rf,textgrids/cbas/p112.TextGrid,0.05999999999999517,p112,37.275,37.745,cero,False,False,e,o
37.605,37.745,o,textgrids/cbas/p112.TextGrid,0.14000000000000057,p112,37.275,37.745,cero,False,True,rf,sp
37.745,39.233,sp,textgrids/cbas/p112.TextGrid,1.4879999999999995,p112,37.745,39.233,,True,True,o,l
39.233,39.363,l,textgrids/cbas/p112.TextGrid,0.13000000000000256,p112,39.233,39.833,lógica,True,False,sp,o+
39.363,39.453,o+,textgrids/cbas/p112.TextGrid,0.09000000000000341,p112,39.233,39.833,lógica,False,False,l,x
39.453,39.523,x,textgrids/cbas/p112.TextGrid,0.07000000000000028,p112,39.233,39.833,lógica,False,False,o+,i
39.523,39.613,i,textgrids/cbas/p112.TextGrid,0.0899999999999963,p112,39.233,39.833,lógica,False,False,x,k
39.613,39.683,k,textgrids/cbas/p112.TextGrid,0.07000000000000028,p112,39.233,39.833,lógica,False,False,i,a
39.683,39.833,a,textgrids/cbas/p112.TextGrid,0.14999999999999858,p112,39.233,39.833,lógica,False,True,k,sp
39.833,41.227,sp,textgrids/cbas/p112.TextGrid,1.3939999999999984,p112,39.833,41.227,,True,True,a,p
41.227,41.267,p,textgrids/cbas/p112.TextGrid,0.04000000000000625,p112,41.227,41.937,pulverizar,True,False,sp,u
41.267,41.337,u,textgrids/cbas/p112.TextGrid,0.07000000000000028,p112,41.227,41.937,pulverizar,False,False,p,l
41.337,41.377,l,textgrids/cbas/p112.TextGrid,0.03999999999999915,p112,41.227,41.937,pulverizar,False,False,u,b
41.377,41.457,b,textgrids/cbas/p112.TextGrid,0.0799999999999983,p112,41.227,41.937,pulverizar,False,False,l,e
41.457,41.517,e,textgrids/cbas/p112.TextGrid,0.060000000000002274,p112,41.227,41.937,pulverizar,False,False,b,rf
41.517,41.567,rf,textgrids/cbas/p112.TextGrid,0.04999999999999716,p112,41.227,41.937,pulverizar,False,False,e,i
41.567,41.637,i,textgrids/cbas/p112.TextGrid,0.07000000000000028,p112,41.227,41.937,pulverizar,False,False,rf,T
41.637,41.737,T,textgrids/cbas/p112.TextGrid,0.10000000000000142,p112,41.227,41.937,pulverizar,False,False,i,a
41.737,41.857,a,textgrids/cbas/p112.TextGrid,0.11999999999999744,p112,41.227,41.937,pulverizar,False,False,T,rf
41.857,41.937,rf,textgrids/cbas/p112.TextGrid,0.0799999999999983,p112,41.227,41.937,pulverizar,False,True,a,sp
41.937,43.289,sp,textgrids/cbas/p112.TextGrid,1.3520000000000039,p112,41.937,43.289,,True,True,rf,b
43.289,43.389,b,textgrids/cbas/p112.TextGrid,0.10000000000000142,p112,43.289,43.889,vaqueta,True,False,sp,a
43.389,43.449,a,textgrids/cbas/p112.TextGrid,0.05999999999999517,p112,43.289,43.889,vaqueta,False,False,b,k
43.449,43.549,k,textgrids/cbas/p112.TextGrid,0.10000000000000142,p112,43.289,43.889,vaqueta,False,False,a,e
43.549,43.659,e,textgrids/cbas/p112.TextGrid,0.10999999999999943,p112,43.289,43.889,vaqueta,False,False,k,t
43.659,43.769,t,textgrids/cbas/p112.TextGrid,0.10999999999999943,p112,43.289,43.889,vaqueta,False,False,e,a
43.769,43.889,a,textgrids/cbas/p112.TextGrid,0.12000000000000455,p112,43.289,43.889,vaqueta,False,True,t,sp
43.889,45.271,sp,textgrids/cbas/p112.TextGrid,1.381999999999998,p112,43.889,45.271,,True,True,a,a
45.271,45.371,a,textgrids/cbas/p112.TextGrid,0.10000000000000142,p112,45.271,45.621,hablas,True,False,sp,b
45.371,45.431,b,textgrids/cbas/p112.TextGrid,0.05999999999999517,p112,45.271,45.621,hablas,False,False,a,l
45.431,45.491,l,textgrids/cbas/p112.TextGrid,0.060000000000002274,p112,45.271,45.621,hablas,False,False,b,a
45.491,45.531,a,textgrids/cbas/p112.TextGrid,0.03999999999999915,p112,45.271,45.621,hablas,False,False,l,s
45.531,45.621,s,textgrids/cbas/p112.TextGrid,0.09000000000000341,p112,45.271,45.621,hablas,False,True,a,a
45.621,45.691,a,textgrids/cbas/p112.TextGrid,0.07000000000000028,p112,45.621,45.981,aquí,True,False,s,k
45.691,45.791,k,textgrids/cbas/p112.TextGrid,0.09999999999999432,p112,45.621,45.981,aquí,False,False,a,i+
45.791,45.981,i+,textgrids/cbas/p112.TextGrid,0.19000000000000483,p112,45.621,45.981,aquí,False,True,k,sp
45.981,47.984,sp,textgrids/cbas/p112.TextGrid,2.003,p112,45.981,47.984,,True,True,i+,b
47.984,48.084,b,textgrids/cbas/p112.TextGrid,0.10000000000000142,p112,47.984,48.934,vacaciones,True,False,sp,a
48.084,48.144,a,textgrids/cbas/p112.TextGrid,0.05999999999999517,p112,47.984,48.934,vacaciones,False,False,b,k
48.144,48.214,k,textgrids/cbas/p112.TextGrid,0.07000000000000028,p112,47.984,48.934,vacaciones,False,False,a,a
48.214,48.274,a,textgrids/cbas/p112.TextGrid,0.060000000000002274,p112,47.984,48.934,vacaciones,False,False,k,T
48.274,48.374,T,textgrids/cbas/p112.TextGrid,0.10000000000000142,p112,47.984,48.934,vacaciones,False,False,a,j
48.374,48.444,j,textgrids/cbas/p112.TextGrid,0.07000000000000028,p112,47.984,48.934,vacaciones,False,False,T,o
48.444,48.544,o,textgrids/cbas/p112.TextGrid,0.09999999999999432,p112,47.984,48.934,vacaciones,False,False,j,n
48.544,48.614,n,textgrids/cbas/p112.TextGrid,0.07000000000000028,p112,47.984,48.934,vacaciones,False,False,o,e
48.614,48.694,e,textgrids/cbas/p112.TextGrid,0.0800000000000054,p112,47.984,48.934,vacaciones,False,False,n,s
48.694,48.934,s,textgrids/cbas/p112.TextGrid,0.23999999999999488,p112,47.984,48.934,vacaciones,False,True,e,sp
48.934,50.721,sp,textgrids/cbas/p112.TextGrid,1.786999999999999,p112,48.934,50.721,,True,True,s,b
50.721,50.831,b,textgrids/cbas/p112.TextGrid,0.11000000000000654,p112,50.721,51.301,balcón,True,False,sp,a
50.831,50.861,a,textgrids/cbas/p112.TextGrid,0.02999999999999403,p112,50.721,51.301,balcón,False,False,b,l
50.861,50.941,l,textgrids/cbas/p112.TextGrid,0.0800000000000054,p112,50.721,51.301,balcón,False,False,a,k
50.941,51.011,k,textgrids/cbas/p112.TextGrid,0.07000000000000028,p112,50.721,51.301,balcón,False,False,l,o+
51.011,51.141,o+,textgrids/cbas/p112.TextGrid,0.12999999999999545,p112,50.721,51.301,balcón,False,False,k,ng
51.141,51.301,ng,textgrids/cbas/p112.TextGrid,0.1600000000000037,p112,50.721,51.301,balcón,False,True,o+,sp
51.301,52.656,sp,textgrids/cbas/p112.TextGrid,1.3549999999999969,p112,51.301,52.656,,True,True,ng,m
52.656,52.746,m,textgrids/cbas/p112.TextGrid,0.09000000000000341,p112,52.656,53.226,música,True,False,sp,u+
52.746,52.826,u+,textgrids/cbas/p112.TextGrid,0.0799999999999983,p112,52.656,53.226,música,False,False,m,s
52.826,52.926,s,textgrids/cbas/p112.TextGrid,0.10000000000000142,p112,52.656,53.226,música,False,False,u+,i
52.926,52.996,i,textgrids/cbas/p112.TextGrid,0.07000000000000028,p112,52.656,53.226,música,False,False,s,k
52.996,53.076,k,textgrids/cbas/p112.TextGrid,0.0799999999999983,p112,52.656,53.226,música,False,False,i,a
53.076,53.226,a,textgrids/cbas/p112.TextGrid,0.14999999999999858,p112,52.656,53.226,música,False,True,k,sp
53.226,54.452,sp,textgrids/cbas/p112.TextGrid,1.225999999999999,p112,53.226,54.452,,True,True,a,l
54.452,54.612,l,textgrids/cbas/p112.TextGrid,0.1600000000000037,p112,54.452,54.992,lucha,True,False,sp,u
54.612,54.712,u,textgrids/cbas/p112.TextGrid,0.10000000000000142,p112,54.452,54.992,lucha,False,False,l,tS
54.712,54.812,tS,textgrids/cbas/p112.TextGrid,0.09999999999999432,p112,54.452,54.992,lucha,False,False,u,a
54.812,54.992,a,textgrids/cbas/p112.TextGrid,0.17999999999999972,p112,54.452,54.992,lucha,False,True,tS,sp
54.992,56.259,sp,textgrids/cbas/p112.TextGrid,1.267000000000003,p112,54.992,56.259,,True,True,a,b
56.259,56.359,b,textgrids/cbas/p112.TextGrid,0.10000000000000142,p112,56.259,56.729,boca,True,False,sp,o
56.359,56.489,o,textgrids/cbas/p112.TextGrid,0.12999999999999545,p112,56.259,56.729,boca,False,False,b,k
56.489,56.579,k,textgrids/cbas/p112.TextGrid,0.09000000000000341,p112,56.259,56.729,boca,False,False,o,a
56.579,56.729,a,textgrids/cbas/p112.TextGrid,0.14999999999999858,p112,56.259,56.729,boca,False,True,k,sp
56.729,58.243,sp,textgrids/cbas/p112.TextGrid,1.514000000000003,p112,56.729,58.243,,True,True,a,l
58.243,58.353,l,textgrids/cbas/p112.TextGrid,0.10999999999999943,p112,58.243,58.623,lunes,True,False,sp,u
58.353,58.433,u,textgrids/cbas/p112.TextGrid,0.0799999999999983,p112,58.243,58.623,lunes,False,False,l,n
58.433,58.483,n,textgrids/cbas/p112.TextGrid,0.04999999999999716,p112,58.243,58.623,lunes,False,False,u,e
58.483,58.533,e,textgrids/cbas/p112.TextGrid,0.05000000000000426,p112,58.243,58.623,lunes,False,False,n,s
58.533,58.623,s,textgrids/cbas/p112.TextGrid,0.0899999999999963,p112,58.243,58.623,lunes,False,True,e,a
58.623,58.693,a,textgrids/cbas/p112.TextGrid,0.07000000000000028,p112,58.623,59.213,hambriento,True,False,s,m
58.693,58.763,m,textgrids/cbas/p112.TextGrid,0.07000000000000028,p112,58.623,59.213,hambriento,False,False,a,b
58.763,58.813,b,textgrids/cbas/p112.TextGrid,0.05000000000000426,p112,58.623,59.213,hambriento,False,False,m,rf
58.813,58.843,rf,textgrids/cbas/p112.TextGrid,0.030000000000001137,p112,58.623,59.213,hambriento,False,False,b,j
58.843,58.903,j,textgrids/cbas/p112.TextGrid,0.05999999999999517,p112,58.623,59.213,hambriento,False,False,rf,e
58.903,58.943,e,textgrids/cbas/p112.TextGrid,0.03999999999999915,p112,58.623,59.213,hambriento,False,False,j,n
58.943,59.003,n,textgrids/cbas/p112.TextGrid,0.060000000000002274,p112,58.623,59.213,hambriento,False,False,e,t
59.003,59.063,t,textgrids/cbas/p112.TextGrid,0.060000000000002274,p112,58.623,59.213,hambriento,False,False,n,o
59.063,59.213,o,textgrids/cbas/p112.TextGrid,0.14999999999999858,p112,58.623,59.213,hambriento,False,True,t,sp
59.213,60.552,sp,textgrids/cbas/p112.TextGrid,1.3389999999999986,p112,59.213,60.552,,True,True,o,b
60.552,60.652,b,textgrids/cbas/p112.TextGrid,0.10000000000000142,p112,60.552,61.132,vecino,True,False,sp,e
60.652,60.692,e,textgrids/cbas/p112.TextGrid,0.03999999999999915,p112,60.552,61.132,vecino,False,False,b,s
60.692,60.802,s,textgrids/cbas/p112.TextGrid,0.10999999999999943,p112,60.552,61.132,vecino,False,False,e,i
60.802,60.912,i,textgrids/cbas/p112.TextGrid,0.10999999999999943,p112,60.552,61.132,vecino,False,False,s,n
60.912,61.002,n,textgrids/cbas/p112.TextGrid,0.09000000000000341,p112,60.552,61.132,vecino,False,False,i,o
61.002,61.132,o,textgrids/cbas/p112.TextGrid,0.12999999999999545,p112,60.552,61.132,vecino,False,True,n,sp
61.132,62.434,sp,textgrids/cbas/p112.TextGrid,1.3019999999999996,p112,61.132,62.434,,True,True,o,b
