headword,pronunciation,Pron
Abaroechevarria,a β a ɾ o e t ʃ e β a ˈ r j a,a β a ɾ o e t ʃ e β a r j A
Abarrategui,a β a r a ˈ t e ɣ i,a β a r a t E ɣ i
Abarria,a β a ˈ r j a,a β a r j A
Abarza,a ˈ β a ɾ θ a,a β A ɾ θ a
Abarza,a ˈ β a ɾ s a,a β A ɾ s a
Abarzua,a ˈ β a ɾ θ w a,a β A ɾ θ w a
Abarzua,a ˈ β a ɾ s w a,a β A ɾ s w a
Abarzuza,a β a ɾ ˈ s u s a,a β a ɾ s U s a
Abarzúa,a β a ɾ ˈ s w a,a β a ɾ s w A
Abarzúa,a β a ɾ ˈ θ w a,a β a ɾ θ w A
Abascal,a β a s ˈ k a l,a β a s k A l
Abasgoitia,a β a s ˈ ɣ o j t j a,a β a s ɣ O j t j a
Abasola,a β a ˈ s o l a,a β a s O l a
Abasolo,a β a ˈ s o l o,a β a s O l o
Abatao,a β a ˈ t a o,a β a t A o
Abauga,a ˈ β a w ɣ a,a β A w ɣ a
Abdón,a β ˈ ð o n,a β ð O n
Abeberry,a β e ˈ β e r i,a β e β E r i
Abechuco,a β e ˈ t ʃ u k o,a β e t ʃ U k o
Abecia,a ˈ β e θ j a,a β E θ j a
Abecia,a ˈ β e s j a,a β E s j a
Abel,a ˈ β e l,a β E l
Abelardo,a β e ˈ l a ɾ ð o,a β e l A ɾ ð o
Abeleche,a β e ˈ l e t ʃ e,a β e l E t ʃ e
Abelina,a β e ˈ l i n a,a β e l I n a
Abelito,a β e ˈ l i t o,a β e l I t o
Abella,a ˈ β e ʝ a,a β E ʝ a
Abella,a ˈ β e ʎ a,a β E ʎ a
Abello,a ˈ β e ʝ o,a β E ʝ o
Abello,a ˈ β e ʎ o,a β E ʎ o
Abencerraje,a β e n s e ˈ r a x e,a β e n s e r A x e
Abencerraje,a β e n̪ θ e ˈ r a x e,a β e n̪ θ e r A x e
Abendaño,a β e n̪ ˈ d a ɲ o,a β e n̪ d A ɲ o
Abendibar,a β e n d i ˈ β a ɾ,a β e n d i β A ɾ
Abendivar,a β e n d i ˈ β a ɾ,a β e n d i β A ɾ
Abenia,a ˈ β e n j a,a β E n j a
Abenza,a ˈ β e n s a,a β E n s a
Abenza,a ˈ β e n̪ θ a,a β E n̪ θ a
Abeokuta,a β e o ˈ k u t a,a β e o k U t a
Abepura,a β e ˈ p u ɾ a,a β e p U ɾ a
Aber,a ˈ β e ɾ,a β E ɾ
Aberastegue,a β e ɾ a s ˈ t e ɣ e,a β e ɾ a s t E ɣ e
Aberasturi,a β e ɾ a s ˈ t u r i,a β e ɾ a s t U r i
Aberastury,a β e ɾ a s ˈ t u r i,a β e ɾ a s t U r i
Aberatain,a β e ˈ ɾ a t a j n,a β e ɾ A t a j n
Aberdeen,ˌ æ b ɚ ˈ d iː n,ˌ æ b ɚ d Iː n
Aberia,a ˈ β e ɾ j a,a β E ɾ j a
Aberin,a β e ˈ ɾ i n,a β e ɾ I n
Aberro,a ˈ β e r o,a β E r o
Abete,a ˈ β e t e,a β E t e
Abeti,a ˈ β e t i,a β E t i
Abeyo,a ˈ β e ʝ o,a β E ʝ o
Abeytua,a ˈ β e j t w a,a β E j t w a
Abezu,a ˈ β e s u,a β E s u
Abezu,a ˈ β e θ u,a β E θ u
Abia,ˈ a β j a,A β j a
Abiaga,a ˈ β j a ɣ a,a β j A ɣ a
Abiega,a ˈ β j e ɣ a,a β j E ɣ a
Abigaíl,a β i ɣ a ˈ i l,a β i ɣ a I l
Abilene,a β i ˈ l e n e,a β i l E n e
Abimelech,a β i m e ˈ l e t ʃ,a β i m e l E t ʃ
Abin,a ˈ β i n,a β I n
Abina,a ˈ β i n a,a β I n a
Abinagaechevarria,a ˌ β i n a e t ʃ e β a ˈ r i a,a ˌ β i n a e t ʃ e β a r I a
Abinagagoitia,a β i n a ɣ a ˈ ɣ o j t j a,a β i n a ɣ a ɣ O j t j a
Abinagoitiz,a β i n a ˈ ɣ o j t i θ,a β i n a ɣ O j t i θ
Abinagoitiz,a β i n a ˈ ɣ o j t i s,a β i n a ɣ O j t i s
Abinceta,a β i n ˈ θ e t a,a β i n θ E t a
Abiniaver,a ˈ β i n j a β e ɾ,a β I n j a β e ɾ
Abinzano,a β i n ˈ s a n o,a β i n s A n o
Abinzano,a β i n ˈ θ a n o,a β i n θ A n o
Abinzeta,a β i n ˈ θ e t a,a β i n θ E t a
Abio,ˈ a β j o,A β j o
Abisinia,a β i ˈ s i n j a,a β i s I n j a
Abiyán,a β i ˈ ʝ a n,a β i ʝ A n
Abiña,a ˈ β i ɲ a,a β I ɲ a
Abjasia,a b ˈ x a s j a,a b x A s j a
Abjazia,a β ˈ x a θ j a,a β x A θ j a
Abner,a β ˈ n e ɾ,a β n E ɾ
Aboitiz,a ˈ β o j t i θ,a β O j t i θ
Aboitiz,a ˈ β o j t i s,a β O j t i s
Aboleche,a β o ˈ l e t ʃ e,a β o l E t ʃ e
Abomey,a β o ˈ m e i,a β o m E i
Abona,a ˈ β o n a,a β O n a
Abondaño,a β o n̪ ˈ d a ɲ o,a β o n̪ d A ɲ o
Abons,A ˈ b o n s,A b O n s
Abornicano,a β o ɾ n i ˈ k a n o,a β o ɾ n i k A n o
Aborroza,a β o ˈ r o θ a,a β o r O θ a
Aborroza,a β o ˈ r o s a,a β o r O s a
Aborruza,a β o ˈ r u θ a,a β o r U θ a
Aborruza,a β o ˈ r u s a,a β o r U s a
Abos,a ˈ β o s,a β O s
Aboy,a ˈ β o j,a β O j
Abraham,a β ɾ a ˈ a m,a β ɾ a A m
Abrahán,a β ɾ a ˈ a n,a β ɾ a A n
Abraim,a β ɾ a ˈ i m,a β ɾ a I m
Abram,a ˈ β ɾ a m,a β ɾ A m
Abril,a ˈ β ɾ i l,a β ɾ I l
Abrisqueta,a β ɾ i s ˈ k e t a,a β ɾ i s k E t a
Abrisquieta,a β ɾ i s ˈ k j e t a,a β ɾ i s k j E t a
Abrizqueta,a β ɾ i θ ˈ k e t a,a β ɾ i θ k E t a
Abrizqueta,a β ɾ i s ˈ k e t a,a β ɾ i s k E t a
Abruza,a ˈ β ɾ u s a,a β ɾ U s a
Abruza,a ˈ β ɾ u θ a,a β ɾ U θ a
Absalón,a β s a ˈ l o n,a β s a l O n
Abuin,a ˈ β w j n,a ˈ β w j n
Abuja,a ˈ β u ʝ a,a β U ʝ a
Abundio,a ˈ β u n̪ d j o,a β U n̪ d j o
Aburrazaga,a β u r a ˈ θ a ɣ a,a β u r a θ A ɣ a
Aburrazaga,a β u r a ˈ s a ɣ a,a β u r a s A ɣ a
Aburruza,a β u ˈ r u s a,a β u r U s a
Aburruza,a β u ˈ r u θ a,a β u r U θ a
Aburruzaga,a β u r u ˈ θ a ɣ a,a β u r u θ A ɣ a
Aburruzaga,a β u r u ˈ s a ɣ a,a β u r u s A ɣ a
Aburto,a ˈ β u ɾ t o,a β U ɾ t o
Aburtu,a ˈ β u ɾ t u,a β U ɾ t u
Aburuza,a β u ˈ ɾ u θ a,a β u ɾ U θ a
Aburuza,a β u ˈ ɾ u s a,a β u ɾ U s a
Aburuzaga,a β u ɾ u ˈ θ a ɣ a,a β u ɾ u θ A ɣ a
Aburuzaga,a β u ɾ u ˈ s a ɣ a,a β u ɾ u s A ɣ a
Acaiturri,a k a j ˈ t u r i,a k a j t U r i
Acaiturria,a k a j ˈ t u r i a,a k a j t U r i a
Acaiturrieta,a k a j t u ˈ r i e t a,a k a j t u r I e t a
Acandia,a ˈ k a n̪ d j a,a k A n̪ d j a
Acantodios,a ˌ k a n̪ ˈ t o ð j o s,a ˌ k a n̪ t O ð j o s
